CHG TSX,CHG Oil,CHG Gold,CHG Price,Norm_Gold,Norm_Oil,Norm_TSX,TSX,Gold,Crude,Avg TSX,Norm AVG_TSX,CAD Price,AVG Price
-398.2,-1.17,24.8,0.0016,0.6514,0.3155,0,16285.40039,"1,513.80",52.45,16336.15039,0.73734337,0.7498,0.7504
-14.9,0.17,5,-0.0006,0.4664,0.4177,0.5658,16386.90039,"1,512.90",52.81,16403.79981,0.761015552,0.751,0.7512
135.3,0.3,-9.4,-0.0014,0.3318,0.4276,0.7875,16420.69922,"1,504.40",52.75,16393.59961,0.757446255,0.7514,0.7509
-20.4,-0.18,-9,0.0019,0.3355,0.391,0.5576,16366.5,"1,503.90",52.63,16356.89991,0.744604132,0.7504,0.7502
-73.4,-0.16,8.4,0.0077,0.4981,0.3925,0.4794,16347.29981,"1,512.80",52.59,16361.3501,0.746161364,0.75,0.75115
8.9,0.92,-3,0.0053,0.3916,0.4748,0.6009,16375.40039,"1,500.90",53.55,16431.29981,0.770638474,0.7523,0.755
139.9,2.11,-24.1,-0.0003,0.1944,0.5655,0.7942,16487.19922,"1,488.70",54.7,16460.44922,0.780838566,0.7577,0.75765
58.3,-0.74,-17.4,0.0036,0.257,0.3483,0.6738,16433.69922,"1,483.50",52.81,16434.39942,0.771723103,0.7576,0.7575
-52.1,-1.34,5.3,0.0045,0.4692,0.3026,0.5108,16435.09961,"1,494.00",53.36,16442.79981,0.774662605,0.7574,0.7593
16.8,1.12,14.8,0.0029,0.5579,0.4901,0.6125,16450.5,"1,498.30",53.93,16451.59961,0.777741871,0.7612,0.76155
17.6,0.42,0.1,0.0019,0.4206,0.4367,0.6137,16452.69922,"1,494.10",53.78,16436.84961,0.772580486,0.7619,0.763
-29.5,-0.62,-10.2,0.0011,0.3243,0.3575,0.5442,16421,"1,488.10",53.31,16445.65039,0.775660094,0.7641,0.76395
17.6,0.38,-6.6,0.0013,0.3579,0.4337,0.6137,16470.30078,"1,487.50",54.16,16428.2002,0.769553845,0.7638,0.7645
-34.9,2.66,7.6,0.0007,0.4907,0.6075,0.5362,16386.09961,"1,495.70",55.97,16383.44971,0.753894557,0.7652,0.76515
-89.5,2.07,17.2,0.001,0.5804,0.5625,0.4556,16380.79981,"1,504.70",56.23,16375.29981,0.751042708,0.7651,0.7655
-16.3,0.69,9.6,-0.0018,0.5093,0.4573,0.5637,16369.79981,"1,505.30",56.66,16402.1001,0.760420784,0.7659,0.766
53.6,-0.42,-8.9,-0.0061,0.3364,0.3727,0.6669,16434.40039,"1,495.80",55.81,16382.65039,0.753614856,0.7661,0.7651
-38.9,-1.12,-14.6,-0.0043,0.2832,0.3194,0.5303,16330.90039,"1,490.70",55.54,16371.7002,0.749783115,0.7641,0.76205
-21.9,-0.75,0.9,0.0012,0.428,0.3476,0.5554,16412.5,"1,496.70",55.06,16442.90039,0.774697802,0.76,0.7599
142.4,-1.36,24.1,0.0006,0.6449,0.3011,0.7979,16473.30078,"1,514.80",54.18,16505.5,0.796602934,0.7598,0.7605
125.2,1.14,14.7,-0.0011,0.557,0.4916,0.7725,16537.69922,"1,511.40",56.2,16591.89942,0.826836199,0.7612,0.7608
172.8,2.36,-3.7,-0.0018,0.385,0.5846,0.8428,16646.09961,"1,511.10",56.54,16655,0.848916634,0.7604,0.76025
126.2,1.03,-27.7,-0.001,0.1607,0.4832,0.774,16663.90039,"1,483.70",57.23,16678.4502,0.85712243,0.7601,0.75935
46.9,-0.19,-18,-0.0026,0.2514,0.3902,0.657,16693,"1,493.10",56.35,16745.15039,0.880462457,0.7586,0.75885
133.4,-0.08,-17.3,-0.0032,0.2579,0.3986,0.7847,16797.30078,"1,466.40",57.15,16796.5,0.898430939,0.7591,0.75755
102.7,0.89,-30.2,-0.0003,0.1374,0.4726,0.7393,16795.69922,"1,462.90",57.24,16815.25,0.904992022,0.756,0.75595
37.5,-0.29,-9.3,-0.0012,0.3327,0.3826,0.6431,16834.80078,"1,457.10",56.86,16866.4502,0.92290822,0.7559,0.7558
102.4,-0.44,-2.3,-0.0009,0.3981,0.3712,0.7389,16898.09961,"1,460.60",56.8,16894.84961,0.932845869,0.7557,0.7552
56.8,0.26,13.1,0.0015,0.5421,0.4245,0.6716,16891.59961,"1,470.20",57.12,16925.75,0.94365867,0.7547,0.75475
61.8,-0.03,19.6,0.0024,0.6028,0.4024,0.679,16959.90039,"1,480.20",56.77,16971.29981,0.959597659,0.7548,0.7555
91.1,0.6,5.2,-0.0025,0.4682,0.4505,0.7222,16982.69922,"1,475.40",57.72,16993.25,0.967278568,0.7562,0.7567
43.9,0.28,-1.4,-0.0055,0.4065,0.4261,0.6525,17003.80078,"1,478.80",57.05,17018.85059,0.976236838,0.7572,0.75545
51.2,-2.51,5.8,-0.001,0.4738,0.2134,0.6633,17033.90039,"1,481.20",55.21,17013,0.974189575,0.7537,0.7527
-11.7,0.06,2.2,0.0001,0.4402,0.4093,0.5705,16992.09961,"1,481.00",57.11,17005.79981,0.971670051,0.7517,0.7522
-14.4,3.37,-10.7,-0.0008,0.3196,0.6616,0.5665,17019.5,"1,470.50",58.58,17016,0.975239348,0.7527,0.75225
20.4,0.66,-10.5,0.0017,0.3215,0.455,0.6179,17012.5,"1,470.50",57.77,16996.54981,0.96843325,0.7518,0.75185
-38.9,-0.57,-6.7,0.0011,0.357,0.3613,0.5303,16980.59961,"1,463.80",58.01,16998.75,0.969203152,0.7519,0.7527
4.4,0.64,-3.1,-0.0005,0.3907,0.4535,0.5942,17016.90039,"1,467.40",58.41,17031.75,0.980750658,0.7535,0.75325
66,0.1,-3,0.0002,0.3916,0.4123,0.6852,17046.59961,"1,460.80",58.11,17066.67981,0.992973449,0.753,0.753
69.86,-0.33,-5.15,-0.0015,0.3715,0.3796,0.6909,17086.76,"1,462.25",58.08,17086.76,1,0.753,0.753
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://finance.yahoo.com/quote/%5EGSPTSE/history?period1=1546232400&period2=1575003600&interval=1d&filter=history&frequency=1d,,,,,,,,,,,,,
https://ca.investing.com/commodities/crude-oil-historical-data,,,,,,,,,,,,,
https://ca.investing.com/commodities/gold-historical-data,,,,,,,,,,,,,
https://ca.investing.com/currencies/cad-usd-historical-data,,,,,,,,,,,,,
