CHG TSX,CHG Oil,CHG Gold,CHG Price,Norm_Gold,Norm_Oil,Norm_TSX,TSX,Gold,Crude,Avg TSX,Norm AVG_TSX,CAD Price,AVG Price
-9,0.76,-14.7,-0.006,0.2822,0.4627,0.5745,16077.29981,"1,309.10",56.56,16088.00001,0.650509492,0.7492,0.74655
10.1,-0.37,0.3,0.0015,0.4224,0.3765,0.6027,16098.7002,"1,312.20",56.22,16088.8501,0.650806961,0.7439,0.74355
1.7,0.1,1.6,0.0034,0.4346,0.4123,0.5903,16079,"1,310.70",56.66,16018.54981,0.626207171,0.7432,0.7443
-140.6,-0.15,12.1,0.0035,0.5327,0.3933,0.3802,15958.09961,"1,324.30",56.07,15993.09961,0.617301526,0.7454,0.746
-50.9,0.13,5,0.0049,0.4664,0.4146,0.5126,16028.09961,"1,315.70",56.79,16085.34961,0.649582054,0.7466,0.74775
184.5,0.8,-1.9,0.001,0.4019,0.4657,0.8601,16142.59961,"1,322.40",56.87,16167.84961,0.678450818,0.7489,0.7502
165,1.47,18.1,-0.0015,0.5888,0.5168,0.8313,16193.09961,"1,333.80",58.26,16166.25,0.677891076,0.7515,0.7507
-3.2,1.74,-3,0.0001,0.3916,0.5373,0.583,16139.40039,"1,319.40",58.61,16148.0503,0.671522554,0.7499,0.74995
-36.4,0.26,-6.7,0.0007,0.357,0.4245,0.534,16156.7002,"1,327.10",58.52,16152.89991,0.673219551,0.75,0.75
9.7,0.48,6.4,0.0016,0.4794,0.4413,0.6021,16149.09961,"1,325.80",59.09,16212.19971,0.693970001,0.75,0.75035
118.6,0.51,3.8,-0.0022,0.4551,0.4436,0.7628,16275.29981,"1,330.90",59.03,16221.75001,0.697311882,0.7507,0.75115
19.1,0.74,0,-0.0069,0.4196,0.4611,0.6159,16168.2002,"1,325.80",59.83,16158.50001,0.675179163,0.7516,0.75005
-126.5,0.95,0.7,-0.0025,0.4262,0.4771,0.401,16148.79981,"1,331.60",59.98,16160.8501,0.676001519,0.7485,0.7466
4.7,-0.79,10.7,0.0024,0.5196,0.3445,0.5947,16172.90039,"1,336.50",59.04,16119.6001,0.661567136,0.7447,0.74535
-82.5,-1.16,15.1,-0.0003,0.5607,0.3163,0.466,16066.29981,"1,346.70",58.82,16102.6001,0.655618421,0.746,0.74655
-34,0.9,2.7,-0.003,0.4449,0.4733,0.5376,16138.90039,"1,339.20",59.94,16143.15039,0.669807958,0.7471,0.7464
81.1,0.59,-12,0.0036,0.3075,0.4497,0.7075,16147.40039,"1,334.70",59.41,16120.75,0.661969515,0.7457,0.7449
-44.8,-0.64,-25.9,0.0073,0.1776,0.3559,0.5216,16094.09961,"1,313.30",59.3,16147.19971,0.671224914,0.7441,0.7467
52.9,0.73,-18.2,0.0005,0.2495,0.4604,0.6658,16200.29981,"1,316.50",60.14,16194.1001,0.687636506,0.7493,0.75035
93.8,2.29,-0.9,-0.0021,0.4112,0.5793,0.7262,16187.90039,"1,312.40",61.59,16214.15039,0.694652592,0.7514,0.7506
40.1,2.44,-3.1,-0.0013,0.3907,0.5907,0.6469,16240.40039,"1,313.40",62.58,16268.2002,0.713565938,0.7498,0.74955
108.1,0.87,0.9,-0.0022,0.428,0.471,0.7473,16296,"1,313.30",62.46,16293,0.722243995,0.7493,0.7489
49.6,-0.48,-1.2,0.0025,0.4084,0.3681,0.661,16290,"1,312.20",62.1,16313.9502,0.72957498,0.7485,0.7478
41.9,0.62,0.4,0.0032,0.4234,0.452,0.6496,16337.90039,"1,313.70",63.08,16355.5,0.744114271,0.7471,0.74905
83.1,2.3,7.7,-0.0003,0.4916,0.58,0.7104,16373.09961,"1,319.90",64.4,16356.84961,0.744586533,0.751,0.75065
2.7,0.9,12.6,-0.0033,0.5374,0.4733,0.5917,16340.59961,"1,326.30",63.98,16354.79981,0.743869256,0.7503,0.7505
-4.1,0.21,12,0,0.5318,0.4207,0.5817,16369,"1,331.90",64.61,16390.90039,0.756501732,0.7507,0.74885
72.2,-0.4,-15,0.0013,0.2794,0.3742,0.6943,16412.80078,"1,311.30",63.58,16443.35059,0.774855336,0.747,0.74885
104.9,-0.72,-18.5,-0.0017,0.2467,0.3498,0.7426,16473.90039,"1,313.40",63.89,16466.90039,0.783095988,0.7507,0.7495
47.1,-0.18,-1.9,0.0013,0.4019,0.391,0.6573,16459.90039,"1,309.40",63.4,16498.79981,0.794258372,0.7483,0.74865
63.8,0.16,-18.2,-0.0014,0.2495,0.4169,0.6819,16537.69922,"1,295.20",64.05,16536.79981,0.8075555,0.749,0.7493
76,0.36,-14.7,-0.0003,0.2822,0.4322,0.6999,16535.90039,"1,294.70",63.76,16547.2002,0.81119485,0.7496,0.7486
20.8,-0.05,-1.1,-0.0026,0.4093,0.4009,0.6185,16558.5,"1,294.10",64,16582.84961,0.823669451,0.7476,0.74845
71.3,1.94,1.1,-0.0081,0.4299,0.5526,0.693,16607.19922,"1,295.80",65.7,16599.39942,0.829460632,0.7493,0.74715
33.1,2.3,-2.9,-0.0034,0.3925,0.58,0.6366,16591.59961,"1,291.20",66.3,16616.84961,0.835566881,0.745,0.7431
34.9,0.19,1.6,0.002,0.4346,0.4192,0.6393,16642.09961,"1,297.40",65.89,16604.64942,0.831297735,0.7412,0.7414
-24.4,-1.09,6.5,0.0014,0.4804,0.3216,0.5517,16567.19922,"1,297.70",65.21,16560.75,0.815936258,0.7416,0.7424
-87.8,-2.59,9.4,0.0039,0.5075,0.2073,0.4582,16554.30078,"1,306.80",63.3,16583.2002,0.823792129,0.7432,0.7431
44.9,-1.71,1.7,0.0009,0.4355,0.2744,0.654,16612.09961,"1,299.40",63.5,16597.39942,0.828760783,0.743,0.74505
28.4,0.61,-3.2,-0.005,0.3897,0.4512,0.6297,16582.69922,"1,303.60",63.91,16581.64942,0.823249473,0.7471,0.7455
-31.5,0.1,2.8,0.0012,0.4458,0.4123,0.5413,16580.59961,"1,302.20",63.6,16532.79981,0.806155802,0.7439,0.743
-97.7,-2.1,-13.7,0.0015,0.2916,0.2447,0.4435,16485,"1,289.90",61.81,16476.34961,0.786402501,0.7421,0.7436
-112.9,-1.66,-3,-0.0029,0.3916,0.2782,0.4211,16467.69922,"1,299.20",61.94,16400.24952,0.759773219,0.7451,0.74435
-152.2,0.44,11.9,-0.0017,0.5308,0.4383,0.3631,16332.79981,"1,301.80",62.25,16355.39991,0.744079246,0.7436,0.7429
-89.7,-0.54,4.4,-0.0003,0.4607,0.3636,0.4554,16378,"1,303.60",61.4,16363.54981,0.746931095,0.7422,0.74205
16.3,-0.13,-2.3,0.0037,0.3981,0.3948,0.6118,16349.09961,"1,299.50",62.12,16345.59961,0.740649883,0.7419,0.7419
-35.9,0.3,-0.4,0.0001,0.4159,0.4276,0.5348,16342.09961,"1,303.20",61.7,16310.19971,0.728262594,0.7419,0.74375
-70.8,-0.46,5.8,-0.0027,0.4738,0.3697,0.4832,16278.29981,"1,305.30",61.66,16218.25001,0.696087147,0.7456,0.7438
-183.9,-0.66,16.3,0.0022,0.572,0.3544,0.3163,16158.2002,"1,319.50",61.04,16192.8003,0.687181672,0.742,0.74245
-50.9,0.12,8.3,0,0.4972,0.4139,0.5126,16227.40039,"1,313.60",61.78,16232.6001,0.701108596,0.7429,0.74355
79.6,0.98,-4.4,-0.0011,0.3785,0.4794,0.7052,16237.79981,"1,315.10",62.02,16299.44971,0.724500906,0.7442,0.74355
133.7,1.09,-10.1,0.003,0.3252,0.4878,0.7851,16361.09961,"1,303.50",62.87,16372.29981,0.749992933,0.7429,0.743
145.7,0.74,-22.1,0.0015,0.2131,0.4611,0.8028,16383.5,"1,293.00",62.76,16383.39991,0.753877129,0.7431,0.7445
22.2,0.12,-13.1,-0.0037,0.2972,0.4139,0.6205,16383.29981,"1,290.40",62.99,16364.54981,0.747281021,0.7459,0.74525
-37.7,-1.34,-1.6,-0.0005,0.4047,0.3026,0.5321,16345.79981,"1,291.40",61.42,16287.14991,0.720196904,0.7446,0.7434
-154.8,-5.08,12.3,0.0017,0.5346,0.0175,0.3593,16228.5,"1,302.70",57.91,16225.1001,0.698484162,0.7422,0.74315
-124.1,-2.79,9.6,-0.0029,0.5093,0.1921,0.4046,16221.7002,"1,301.00",58.63,16231.5503,0.700741243,0.7441,0.744
12.9,1.25,-17.75,-0.0043,0.2537,0.5,0.6068,16241.40039,"1,284.95",59.16,16284.15039,0.719147301,0.7439,0.74255
